SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,2012.0,1469.17761
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,2012.0,11553.57642
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,2012.0,7500.041067
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,2012.0,1.014509775
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,2012.0,7.33538001
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,2012.0,4.165499831
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,2012.0,3.849155632
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,2012.0,0.6079490691
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,2012.0,2281688705322
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,2012.0,7176177712063
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,2012.0,1837758194987
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,2012.0,1600847883452
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,2012.0,385418237961
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,2012.0,1.995990005
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,2012.0,8.622849099
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,India,IND,2012.0,5.137322988
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Russian Federation,RUS,2012.0,3.886811914
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,South Africa,ZAF,2012.0,2.067574424
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,Brazil,BRA,2012.0,11449.24313
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,China,CHN,2012.0,5312.952008
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,India,IND,2012.0,1451.874847
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,Russian Federation,RUS,2012.0,11178.97098
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,South Africa,ZAF,2012.0,7294.889683
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,2012.0,1.088683725
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,2012.0,8.094892007
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,2012.0,3.85036909
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,2012.0,3.712112234
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,South Africa,ZAF,2012.0,0.4644583728
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,2012.0,13.23673454
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,2012.0,22.77499818
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,2012.0,31.25929107
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,2012.0,20.24407005
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,2012.0,31.17582008
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Brazil,BRA,2012.0,326310480774
Imports of goods and services (current US$),NE.IMP.GNFS.CD,China,CHN,2012.0,1943215391729
Imports of goods and services (current US$),NE.IMP.GNFS.CD,India,IND,2012.0,571306638044
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Russian Federation,RUS,2012.0,447048943249
Imports of goods and services (current US$),NE.IMP.GNFS.CD,South Africa,ZAF,2012.0,123559970280
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Brazil,BRA,2012.0,84.7101276
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,China,CHN,2012.0,295.0335607
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,India,IND,2012.0,76.52670602
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Russian Federation,RUS,2012.0,90.87870641
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,South Africa,ZAF,2012.0,34.50295269
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,Brazil,BRA,2013.0,2057399003934
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,China,CHN,2013.0,5581927572797
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,India,IND,2013.0,1708545288801
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,Russian Federation,RUS,2013.0,1369981442680
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,South Africa,ZAF,2013.0,324567365291
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,2013.0,10233.98793
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,2013.0,4112.280697
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,2013.0,1333.919235
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,2013.0,9568.51753
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,2013.0,6045.296776
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,2013.0,11.74223064
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,2013.0,24.59925566
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,2013.0,25.4308613
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,2013.0,25.84533683
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,2013.0,30.97134112
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,2013.0,290362691897
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,2013.0,2354248580552
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,2013.0,472180427428
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,2013.0,592497432241
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,2013.0,113611981866
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,2013.0,2411120883015
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,2013.0,7751437767565
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,2013.0,1978419583618
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,2013.0,1683535346496
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,2013.0,406104993311
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,2013.0,3.004846305
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,2013.0,7.768615284
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,2013.0,6.386106401
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,2013.0,1.755422149
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,2013.0,2.4852005
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,2013.0,11993.48398
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,2013.0,5710.587873
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,2013.0,1544.619247
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,2013.0,11731.38178
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,2013.0,7563.992777
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,2013.0,2.108911835
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,2013.0,7.237862515
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,2013.0,5.134956907
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,2013.0,1.538963817
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,2013.0,0.8526848037
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,2013.0,2377332329984
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,2013.0,7689040310530
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,2013.0,1953772019539
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,2013.0,1622287769347
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,2013.0,395433897777
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,2013.0,4.191791126
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,2013.0,7.146737707
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,India,IND,2013.0,6.312790489
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Russian Federation,RUS,2013.0,1.339283146
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,South Africa,ZAF,2013.0,2.598647088
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,Brazil,BRA,2013.0,11825.41175
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,China,CHN,2013.0,5664.618832
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,India,IND,2013.0,1525.376058
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,Russian Federation,RUS,2013.0,11304.5902
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,South Africa,ZAF,2013.0,7365.236074
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,2013.0,3.285532628
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,2013.0,6.619047641
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,2013.0,5.062503225
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,2013.0,1.123710042
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,South Africa,ZAF,2013.0,0.9643242684
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,2013.0,14.04374544
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,2013.0,22.14512224
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,2013.0,28.41327065
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,2013.0,20.44181257
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,2013.0,33.2704187
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Brazil,BRA,2013.0,347274708965
Imports of goods and services (current US$),NE.IMP.GNFS.CD,China,CHN,2013.0,2119378054519
Imports of goods and services (current US$),NE.IMP.GNFS.CD,India,IND,2013.0,527555481499
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Russian Federation,RUS,2013.0,468623084389
Imports of goods and services (current US$),NE.IMP.GNFS.CD,South Africa,ZAF,2013.0,122045674110
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Brazil,BRA,2013.0,74.17158193
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,China,CHN,2013.0,262.1004237
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,India,IND,2013.0,69.77083932
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Russian Federation,RUS,2013.0,76.24772678
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,South Africa,ZAF,2013.0,35.45677674
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,Brazil,BRA,2014.0,2050761111769
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,China,CHN,2014.0,6126901789078
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,India,IND,2014.0,1820751862293
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,Russian Federation,RUS,2014.0,1368729477684
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,South Africa,ZAF,2014.0,331898686926
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,2014.0,10114.04289
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,2014.0,4490.974506
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,2014.0,1405.330335
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,2014.0,9372.852121
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,2014.0,6084.749417
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,2014.0,11.01194282
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,2014.0,23.51006107
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,2014.0,22.96796301
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,2014.0,27.11109705
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,2014.0,31.46864521
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,2014.0,270452613685
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,2014.0,2462839435097
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,2014.0,468346037554
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,2014.0,558283087795
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,2014.0,110424915818
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,2014.0,2423271865109
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,2014.0,8326945098314
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,2014.0,2125024977748
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,2014.0,1695930665413
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,2014.0,413605718439
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,2014.0,0.5039557402
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,2014.0,7.424523656
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,2014.0,7.410227605
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,2014.0,0.7362672214
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,2014.0,1.846991604
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,2014.0,11951.20945
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,2014.0,6103.59027
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,2014.0,1640.1807
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,2014.0,11608.75864
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,2014.0,7582.696929
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,2014.0,-0.3524792177
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,2014.0,6.881995441
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,2014.0,6.186731983
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,2014.0,-1.045257463
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,2014.0,0.2472788165
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,2014.0,2377863090914
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,2014.0,8337596007143
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,2014.0,2100204782236
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,2014.0,1637962132581
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,2014.0,402580419269
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,2014.0,0.02232590383
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,2014.0,8.434806821
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,India,IND,2014.0,7.494874593
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Russian Federation,RUS,2014.0,0.966188831
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,South Africa,ZAF,2014.0,1.807260716
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,Brazil,BRA,2014.0,11727.26026
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,China,CHN,2014.0,6111.397309
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,India,IND,2014.0,1621.023464
